driverId,week,hours-logged,miles-logged
44,31,74,1200
88,36,51,3100
79,12,74,3700
44,10,59,2800
17,19,67,100
99,25,62,3400
94,15,66,1000
40,44,63,2900
95,38,62,800
101,43,66,4000
77,50,70,3500
107,48,51,2200
89,28,51,2100
27,30,73,1700
37,1,66,3800
48,9,57,1900
65,17,75,1900
107,18,60,1000
35,30,72,3200
16,41,78,1000
45,35,55,2000
62,25,79,3700
107,45,60,1400
11,14,61,900
27,23,61,3200
13,29,69,1100
33,45,51,1200
50,36,57,3200
79,13,66,3000
53,29,57,3200
82,39,78,4000
34,20,69,2500
34,7,60,500
54,43,80,1800
43,52,54,3500
18,20,50,2900
81,15,63,1000
42,2,74,3900
51,25,56,700
91,20,53,3600
41,3,63,500
38,42,69,700
10,39,58,200
91,47,57,200
32,3,73,1400
40,25,65,2300
96,44,68,600
96,32,71,2000
52,5,78,600
28,42,64,1500
42,31,74,1000
11,22,53,100
68,1,55,3900
18,16,69,1600
27,46,74,1100
16,17,67,100
67,24,62,3400
84,46,63,2700
72,40,76,3400
43,7,60,3300
38,44,52,0
29,10,51,2100
49,8,60,3300
107,1,56,2100
83,33,65,3700
21,50,76,3800
79,26,78,3200
44,19,75,2800
42,30,76,1200
15,31,72,3200
29,7,79,3000
65,24,61,2100
102,4,71,3600
98,24,64,0
16,7,51,1200
25,48,67,400
78,47,79,1800
109,49,73,1200
41,36,72,3700
36,32,60,0
96,13,80,700
58,6,64,3900
66,2,79,300
100,49,74,4000
54,30,79,2100
73,17,66,1000
69,44,80,4000
100,24,78,1300
25,22,54,3300
57,18,54,2300
80,24,56,3400
103,15,77,100
73,45,77,300
29,5,65,600
71,43,72,200
11,47,57,1700
62,21,59,1500
65,30,65,3000
41,39,60,2900
18,6,62,2100
10,47,74,1700
102,4,75,1400
24,14,75,2600
107,11,51,3400
72,33,70,1700
30,49,80,3200
10,34,72,1800
65,8,60,2100
72,28,75,200
54,41,52,2900
74,5,57,900
96,7,77,100
94,35,79,3100
73,6,80,1400
36,43,58,200
35,20,54,2300
54,36,69,2400
66,26,71,3600
25,52,70,2900
64,11,62,3200
42,3,73,1900
39,37,58,2200
55,52,78,100
42,28,80,700
17,23,70,3100
21,36,70,2800
92,12,67,2100
101,16,74,1400
77,14,58,0
17,51,77,600
69,24,62,1000
27,24,74,4000
24,28,63,1800
23,21,69,2100
25,28,52,1700
101,51,53,3000
103,17,54,600
98,48,77,400
86,24,55,3400
73,44,50,4000
28,17,63,100
73,21,68,1300
77,45,70,600
103,13,71,300
36,33,70,2700
102,28,57,2800
43,30,71,3500
57,21,71,2700
30,18,61,1400
71,5,66,1900
62,7,52,3200
46,21,63,1200
99,49,75,3600
80,48,51,200
81,50,67,3200
39,52,79,500
90,38,62,3900
48,20,59,700
16,43,72,2100
20,16,73,3400
82,41,52,2000
100,1,73,3500
86,52,60,600
66,41,69,700
25,9,64,3400
55,42,65,3400
95,15,73,1200
86,47,63,300
33,27,60,2600
93,28,52,3600
104,9,53,400
109,37,64,3200
20,3,65,3300
10,26,50,900
63,23,52,200
17,40,75,2700
66,50,79,200
48,28,59,3200
79,40,62,2400
97,6,76,1100
36,47,57,1200
45,2,76,2600
15,28,50,2500
13,52,75,300
104,21,71,4000
69,37,60,1600
51,5,62,3700
47,30,54,4000
10,12,56,800
98,11,62,2600
105,43,57,100
23,31,58,2300
24,45,57,200
33,33,75,2900
23,50,67,2100
93,29,62,1600
108,7,67,3500
26,25,51,500
68,34,74,300
103,6,54,400
87,12,59,2100
58,41,55,1200
56,11,62,1000
64,8,77,2000
56,49,75,3000
11,28,67,200
21,12,54,400
13,26,69,3300
75,51,65,2900
79,1,65,3300
